127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/js/ajax_editor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:36, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-12-02 14:20:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.329000
127.0.0.1, 2015-12-02 14:20:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.338000
127.0.0.1, 2015-12-02 14:20:36, GET, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.405000
127.0.0.1, 2015-12-02 14:20:36, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.398000
127.0.0.1, 2015-12-02 14:20:36, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.455000
